Open Time,Open,High,Low,Close,Volume
2021-01-20,1365.36000000,1407.93000000,1235.42000000,1376.99000000,2219137.62144000
2021-01-19,1258.52000000,1438.30000000,1251.49000000,1365.36000000,2278852.55758000
2021-01-18,1232.50000000,1260.75000000,1182.58000000,1258.45000000,998050.11073000
2021-01-17,1227.83000000,1269.02000000,1165.00000000,1232.45000000,1317285.00579000
2021-01-16,1168.48000000,1298.00000000,1151.77000000,1227.83000000,1575384.43797000
2021-01-15,1231.89000000,1256.98000000,1069.42000000,1168.53000000,1944038.83738000
2021-01-14,1129.79000000,1247.55000000,1086.70000000,1231.62000000,1555737.38556000
2021-01-13,1050.36000000,1137.65000000,987.48000000,1129.89000000,1564202.39081000
2021-01-12,1087.00000000,1150.02000000,1006.33000000,1050.16000000,2302645.34052000
2021-01-11,1254.24000000,1260.00000000,915.00000000,1087.01000000,4068784.65678000
2021-01-10,1276.00000000,1348.33000000,1170.00000000,1254.25000000,1951179.35003000
2021-01-09,1216.72000000,1304.37000000,1171.36000000,1276.00000000,1448871.11514000
2021-01-08,1224.86000000,1273.75000000,1065.00000000,1216.93000000,2131172.92341000
2021-01-07,1208.75000000,1289.00000000,1131.00000000,1224.87000000,1972922.82059000
2021-01-06,1100.16000000,1213.00000000,1057.26000000,1208.42000000,2390136.59334000
2021-01-05,1041.45000000,1134.60000000,974.45000000,1099.56000000,2706995.67525000
2021-01-04,978.33000000,1162.97000000,890.00000000,1041.43000000,4245010.94004000
2021-01-03,774.44000000,1011.07000000,768.71000000,978.28000000,2813603.88615000
2021-01-02,728.91000000,787.69000000,714.91000000,774.56000000,1352618.57668000
2021-01-01,736.42000000,749.00000000,714.29000000,728.91000000,675114.09329000
2020-12-31,752.17000000,755.74000000,722.00000000,736.42000000,863375.57981000
2020-12-30,732.00000000,758.74000000,716.62000000,752.17000000,1008574.09906000
2020-12-29,730.40000000,740.78000000,689.20000000,732.00000000,1106876.35855000
2020-12-28,685.10000000,748.09000000,681.04000000,730.41000000,1627154.39266000
2020-12-27,637.44000000,717.13000000,625.00000000,685.11000000,1859968.15029000
2020-12-26,626.78000000,652.91000000,615.26000000,637.44000000,958585.50647000
2020-12-25,612.31000000,634.24000000,604.28000000,626.82000000,798009.62915000
2020-12-24,585.48000000,615.02000000,565.43000000,612.31000000,886335.86333000
2020-12-23,636.41000000,638.44000000,551.28000000,585.56000000,1208807.36518000
2020-12-22,607.68000000,637.73000000,588.00000000,636.45000000,918851.25654000
2020-12-21,638.10000000,648.00000000,595.90000000,607.58000000,843251.16565000
2020-12-20,658.05000000,661.39000000,621.01000000,638.18000000,823958.22843000
2020-12-19,653.76000000,669.95000000,645.42000000,658.03000000,858803.88459000
2020-12-18,642.71000000,664.61000000,629.40000000,653.85000000,1000012.98018000
2020-12-17,637.18000000,676.25000000,625.76000000,642.70000000,2006130.01975000
2020-12-16,588.78000000,640.00000000,580.71000000,637.18000000,1185588.05078000
2020-12-15,586.29000000,597.20000000,578.58000000,588.64000000,569270.52011000
2020-12-14,590.81000000,591.48000000,575.60000000,586.29000000,493012.02706000
2020-12-13,568.09000000,595.00000000,563.22000000,590.70000000,657794.46158000
2020-12-12,544.46000000,574.00000000,543.10000000,568.04000000,573913.95311000
2020-12-11,558.99000000,560.80000000,535.50000000,544.43000000,768921.78317000
2020-12-10,573.20000000,575.70000000,548.11000000,558.99000000,608414.51466000
2020-12-09,554.92000000,578.08000000,530.43000000,573.09000000,997192.16738000
2020-12-08,591.27000000,595.00000000,549.22000000,554.94000000,804443.00717000
2020-12-07,601.59000000,603.15000000,584.22000000,591.28000000,498329.37589000
2020-12-06,596.82000000,607.50000000,583.00000000,601.54000000,602496.96339000
2020-12-05,567.24000000,597.11000000,560.88000000,596.80000000,701567.95564000
2020-12-04,615.84000000,620.00000000,565.82000000,567.24000000,1052452.78666000
2020-12-03,596.88000000,623.44000000,585.82000000,615.85000000,935687.91723000
2020-12-02,585.26000000,604.93000000,575.00000000,596.89000000,1069538.65619000
2020-12-01,616.65000000,635.70000000,560.00000000,585.26000000,2163875.81376000
2020-11-30,576.32000000,616.85000000,570.07000000,616.66000000,1501989.45408000
2020-11-29,537.50000000,576.90000000,530.32000000,576.30000000,855276.46664000
2020-11-28,518.59000000,547.94000000,506.59000000,537.52000000,900508.61431000
2020-11-27,519.83000000,530.62000000,493.72000000,518.68000000,1088064.28114000
2020-11-26,569.38000000,577.14000000,481.00000000,519.83000000,2683460.74171000
2020-11-25,604.98000000,606.00000000,553.83000000,569.50000000,1219440.02727000
2020-11-24,608.58000000,623.00000000,585.00000000,604.97000000,1606450.49193000
2020-11-23,560.03000000,610.85000000,550.12000000,608.58000000,2076008.84846000
2020-11-22,552.42000000,580.88000000,511.28000000,560.03000000,1850317.93581000
2020-11-21,510.12000000,553.32000000,502.82000000,552.35000000,1548851.29067000
2020-11-20,471.26000000,514.40000000,470.65000000,510.12000000,1516361.90736000
2020-11-19,478.43000000,480.75000000,464.86000000,471.25000000,817418.52685000
2020-11-18,482.11000000,495.31000000,456.60000000,478.41000000,1477696.29116000
2020-11-17,460.51000000,484.88000000,459.80000000,482.15000000,1151573.37456000
2020-11-16,448.07000000,466.00000000,445.45000000,460.55000000,812060.44638000
2020-11-15,460.90000000,462.89000000,440.19000000,448.08000000,665217.56671000
2020-11-14,476.42000000,477.47000000,452.00000000,460.89000000,735252.78540000
2020-11-13,462.48000000,478.01000000,457.12000000,476.43000000,976665.09752000
2020-11-12,463.09000000,470.00000000,451.20000000,462.39000000,990776.62912000
2020-11-11,450.34000000,476.25000000,449.28000000,463.09000000,1205782.84262000
2020-11-10,444.32000000,455.00000000,438.70000000,450.34000000,866872.41108000
2020-11-09,454.29000000,459.10000000,433.09000000,444.32000000,1099213.24641000
2020-11-08,435.20000000,460.10000000,431.99000000,454.30000000,840908.46841000
2020-11-07,455.91000000,468.28000000,424.14000000,435.21000000,1653416.59610000
2020-11-06,416.73000000,458.27000000,414.76000000,455.91000000,1682440.96026000
2020-11-05,402.50000000,420.40000000,396.14000000,416.69000000,1475139.77342000
2020-11-04,387.88000000,408.39000000,376.47000000,402.49000000,1157064.35076000
2020-11-03,383.01000000,390.00000000,370.23000000,387.88000000,752954.37114000
2020-11-02,396.68000000,404.50000000,377.92000000,383.02000000,779968.57957000
2020-11-01,386.44000000,398.29000000,384.61000000,396.67000000,438952.95565000
2020-10-31,382.59000000,394.88000000,379.90000000,386.46000000,467453.81050000
2020-10-30,387.12000000,391.97000000,373.29000000,382.49000000,771750.74746000
2020-10-29,388.22000000,393.72000000,380.52000000,387.13000000,573096.01416000
2020-10-28,403.41000000,409.20000000,380.52000000,388.23000000,855275.46882000
2020-10-27,392.52000000,410.25000000,389.90000000,403.45000000,754244.37552000
2020-10-26,405.85000000,411.11000000,382.30000000,392.52000000,895142.67266000
2020-10-25,412.14000000,417.40000000,402.50000000,405.86000000,415586.97610000
2020-10-24,409.19000000,416.66000000,407.00000000,412.14000000,419236.87106000
2020-10-23,413.94000000,419.33000000,401.30000000,409.11000000,727832.32240000
2020-10-22,390.31000000,420.73000000,390.21000000,413.98000000,1095897.20667000
2020-10-21,368.53000000,401.49000000,367.74000000,390.38000000,1221663.63784000
2020-10-20,379.30000000,380.73000000,365.27000000,368.52000000,617309.81677000
2020-10-19,378.12000000,384.32000000,372.50000000,379.30000000,577252.90265000
2020-10-18,368.31000000,378.64000000,367.10000000,378.11000000,323468.47095000
2020-10-17,365.50000000,370.46000000,363.36000000,368.32000000,285578.24537000
2020-10-16,377.63000000,379.83000000,361.18000000,365.50000000,654029.36404000
2020-10-15,378.69000000,381.79000000,369.85000000,377.64000000,634038.09453000
2020-10-14,381.05000000,387.41000000,373.13000000,378.69000000,569557.82936000
2020-10-13,386.51000000,387.75000000,374.51000000,381.04000000,645141.91394000
2020-10-12,374.17000000,394.80000000,365.58000000,386.51000000,844422.65444000
2020-10-11,370.51000000,377.60000000,368.87000000,374.16000000,373318.23779000
2020-10-10,365.01000000,378.40000000,364.71000000,370.52000000,591005.32129000
2020-10-09,350.94000000,368.33000000,347.32000000,365.02000000,650478.19338000
2020-10-08,341.58000000,353.32000000,334.21000000,350.95000000,631794.87560000
2020-10-07,340.80000000,342.85000000,332.18000000,341.58000000,541928.86376000
2020-10-06,353.63000000,355.10000000,336.80000000,340.75000000,640063.26951000
2020-10-05,352.34000000,356.10000000,348.54000000,353.62000000,376740.30692000
2020-10-04,345.94000000,354.45000000,343.81000000,352.37000000,343932.91712000
2020-10-03,345.60000000,351.00000000,343.70000000,345.95000000,303595.71901000
2020-10-02,352.83000000,354.55000000,334.24000000,345.60000000,733571.84211000
2020-10-01,359.83000000,370.45000000,345.51000000,352.85000000,758349.31959000
2020-09-30,359.78000000,361.50000000,351.56000000,359.83000000,498943.23226000
2020-09-29,353.91000000,360.63000000,350.45000000,359.79000000,585143.16892000
2020-09-28,357.58000000,368.20000000,351.70000000,353.96000000,757758.43040000
2020-09-27,353.95000000,362.14000000,347.24000000,357.49000000,569568.55041000
2020-09-26,351.93000000,356.40000000,345.88000000,353.92000000,530879.20755000
2020-09-25,348.97000000,358.00000000,337.58000000,351.92000000,860643.77924000
2020-09-24,320.72000000,353.10000000,316.67000000,348.97000000,1071705.09721000
2020-09-23,344.18000000,344.65000000,313.29000000,320.72000000,940904.49756000
2020-09-22,340.31000000,346.91000000,335.34000000,344.21000000,842731.12878000
2020-09-21,371.04000000,376.80000000,331.00000000,340.36000000,1283946.03098000
2020-09-20,385.25000000,385.45000000,365.00000000,371.04000000,693164.40144000
2020-09-19,384.40000000,388.72000000,377.00000000,385.25000000,570908.33553000
2020-09-18,389.35000000,392.58000000,375.33000000,384.39000000,804194.47219000
2020-09-17,365.04000000,394.14000000,363.30000000,389.36000000,1256300.41100000
2020-09-16,364.05000000,373.45000000,355.00000000,365.11000000,841709.98939000
2020-09-15,377.12000000,382.47000000,362.34000000,364.06000000,883856.33005000
2020-09-14,366.43000000,384.64000000,355.73000000,377.12000000,1042059.62265000
2020-09-13,387.78000000,390.43000000,350.00000000,366.42000000,989195.69047000
2020-09-12,373.62000000,388.57000000,364.73000000,387.78000000,766542.31635000
2020-09-11,367.93000000,375.27000000,355.49000000,373.63000000,844017.59966000
2020-09-10,350.85000000,377.25000000,349.91000000,367.93000000,1134287.61137000
2020-09-09,337.41000000,359.00000000,330.51000000,350.85000000,879760.56255000
2020-09-08,353.59000000,356.58000000,325.38000000,337.39000000,1400246.82962000
2020-09-07,352.85000000,358.51000000,323.00000000,353.59000000,1740618.42462000
2020-09-06,335.04000000,360.00000000,316.10000000,352.80000000,2017811.14721000
2020-09-05,385.30000000,395.00000000,308.42000000,335.01000000,2777166.51389000
2020-09-04,381.35000000,400.21000000,357.00000000,385.26000000,1806488.22474000
2020-09-03,439.50000000,450.70000000,372.00000000,381.40000000,2408569.34151000
2020-09-02,475.40000000,481.39000000,420.00000000,439.50000000,1880642.46853000
2020-09-01,433.80000000,488.84000000,429.03000000,475.40000000,1751354.57719000
